FICE,Institution,Discipline,Total SCH,Percentage of SCH
11161,TAMUCC,Liberal Arts,86832,0.330642459
11161,TAMUCC,Science,56564,0.215386724
11161,TAMUCC,Fine Arts,13206,0.05028635
11161,TAMUCC,Teacher Education,12266,0.046706979
11161,TAMUCC,Agriculture,412,0.001568831
11161,TAMUCC,Engineering,16478,0.062745606
11161,TAMUCC,Home Economics,0,0
11161,TAMUCC,Law,0,0
11161,TAMUCC,Social Service,267,0.001016694
11161,TAMUCC,Library Science,0,0
11161,TAMUCC,Veterinary Science,0,0
11161,TAMUCC,Vocational Training,0,0
11161,TAMUCC,Physical Training,0,0
11161,TAMUCC,Health Services,10572,0.040256496
11161,TAMUCC,Pharmacy,0,0
11161,TAMUCC,Business Administration,44574,0.169730709
11161,TAMUCC,Optometry,0,0
11161,TAMUCC,Teacher Ed-Practice Teaching,1185,0.004512292
11161,TAMUCC,Technology,1730,0.006587565
11161,TAMUCC,Nursing,18530,0.070559296
3639,TAMUK,Liberal Arts,58338,0.363655631
3639,TAMUK,Science,24713,0.154050904
3639,TAMUK,Fine Arts,9134,0.056937683
3639,TAMUK,Teacher Education,11031,0.068762818
3639,TAMUK,Agriculture,11056,0.068918658
3639,TAMUK,Engineering,21399,0.13339276
3639,TAMUK,Home Economics,1203,0.007499018
3639,TAMUK,Law,0,0
3639,TAMUK,Social Service,2398,0.014948168
3639,TAMUK,Library Science,70,0.000436352
3639,TAMUK,Veterinary Science,0,0
3639,TAMUK,Vocational Training,183,0.001140748
3639,TAMUK,Physical Training,0,0
3639,TAMUK,Health Services,4972,0.030993448
3639,TAMUK,Pharmacy,0,0
3639,TAMUK,Business Administration,12117,0.075532505
3639,TAMUK,Optometry,0,0
3639,TAMUK,Teacher Ed-Practice Teaching,1230,0.007667325
3639,TAMUK,Technology,2577,0.016063982
3639,TAMUK,Nursing,0,0
42485,TAMUSA,Liberal Arts,56291,0.401430548
42485,TAMUSA,Science,17182,0.122530772
42485,TAMUSA,Fine Arts,2160,0.015403705
42485,TAMUSA,Teacher Education,23180,0.16530458
42485,TAMUSA,Agriculture,0,0
42485,TAMUSA,Engineering,6215,0.04432131
42485,TAMUSA,Home Economics,171,0.00121946
42485,TAMUSA,Law,0,0
42485,TAMUSA,Social Service,0,0
42485,TAMUSA,Library Science,0,0
42485,TAMUSA,Veterinary Science,0,0
42485,TAMUSA,Vocational Training,0,0
42485,TAMUSA,Physical Training,0,0
42485,TAMUSA,Health Services,1179,0.008407856
